Field1,X,Y,Z
0,586259.016,4475381.7,3.0108006
0,586256.516,4475381.698,3.081202984
0,586254.016,4475381.696,3.154502869
0,586251.516,4475381.694,3.230861664
0,586249.016,4475381.692,3.327906132
0,586246.516,4475381.69,3.480699539
0,586256.9239,4475466.655,2.72931838
0,586254.4338,4475466.433,2.76832366
0,586251.9437,4475466.21,2.815371037
0,586249.4536,4475465.988,2.846038818
0,586246.9635,4475465.766,2.883073807
0,586244.4734,4475465.544,2.917460918
0,586241.9833,4475465.321,2.94504714
0,586239.4932,4475465.099,2.9801085
0,586237.0031,4475464.877,3.01118207
0,586234.513,4475464.655,3.024189234
11256,586326.937,4475469.433,1.885
11257,586327.742,4475469.375,1.912
11258,586328.464,4475469.417,1.893
11259,586329.342,4475469.49,1.923
11260,586330.335,4475469.565,1.955
11261,586331.297,4475469.773,1.992
11262,586332.34,4475469.812,2.014
11263,586333.425,4475469.774,2.05
11264,586334.437,4475469.785,2.061
11265,586335.497,4475469.73,2.046
11266,586336.59,4475469.569,2.104
11267,586337.681,4475469.389,2.117
11268,586338.696,4475469.296,2.142
11269,586339.63,4475469.242,2.117
11270,586340.417,4475469.165,2.169
11271,586341.476,4475469.093,2.162
11272,586342.581,4475469.016,2.156
11273,586343.766,4475468.989,2.167
11274,586344.906,4475469.009,2.187
11275,586345.924,4475469.067,2.193
11276,586346.944,4475469.216,2.182
11277,586347.914,4475469.288,2.152
11452,586374.289,4475386.998,2.059
11453,586372.926,4475386.697,2.051
11454,586371.708,4475386.473,2.043
11455,586370.695,4475386.253,2.008
11456,586370.622,4475386.17,1.999
41364,586333.184,4475469.737,2.013
41369,586333.237,4475467.493,1.992
41370,586332.557,4475467.324,1.936
41371,586331.929,4475467.148,2.001
41372,586331.436,4475466.985,1.945
41373,586331.105,4475467.143,1.992
41374,586330.103,4475467.18,1.962
41375,586328.932,4475467.395,1.894
41376,586327.624,4475467.531,1.85
41377,586326.378,4475467.65,1.809
41378,586325.4,4475467.842,1.775
41379,586324.926,4475467.73,1.796
41380,586323.767,4475467.746,1.765
41381,586322.589,4475467.705,1.705
41382,586321.348,4475467.727,1.63
41383,586320.152,4475467.754,1.611
41384,586318.728,4475467.833,1.582
41385,586317.362,4475467.902,1.547
41386,586316.043,4475468.126,1.516
41387,586314.552,4475468.229,1.513
41388,586313.153,4475468.174,1.482
41389,586311.855,4475468.173,1.484
41390,586310.46,4475468.121,1.453
41391,586309.06,4475468.098,1.505
41392,586307.736,4475468.158,1.551
41393,586306.466,4475468.158,1.584
41394,586305.12,4475468.142,1.655
41395,586303.662,4475468.057,1.74
41396,586302.386,4475468.061,1.875
41397,586301.078,4475468.116,1.931
41398,586299.761,4475468.131,2.048
41399,586298.439,4475468.17,2.127
41400,586296.648,4475468.187,2.267
41401,586295.805,4475468.157,2.365
41402,586294.548,4475468.112,2.443
41403,586293.074,4475467.984,2.474
41404,586291.817,4475467.796,2.509
41405,586290.456,4475467.66,2.526
41406,586289.146,4475467.535,2.602
41407,586287.424,4475467.339,2.653
41408,586286.006,4475467.255,2.733
41409,586285.089,4475467.211,2.737
41410,586283.687,4475467.136,2.804
41411,586282.172,4475467.008,2.867
41412,586280.622,4475467.115,2.947
41413,586279.123,4475467.213,2.948
41414,586277.752,4475467.157,2.914
41415,586276.378,4475467.228,2.966
41416,586274.998,4475467.258,2.934
41417,586273.617,4475467.249,2.94
41418,586272.504,4475467.118,2.934
41419,586270.929,4475467.072,2.986
41420,586269.52,4475467.094,2.974
41421,586268.187,4475467.046,2.986
41422,586266.71,4475466.997,3.007
41423,586265.503,4475467.045,3.024
41424,586264.204,4475466.954,3.085
41425,586262.946,4475467.091,3.123
41426,586261.707,4475467.07,3.169
41427,586260.727,4475467.118,3.257
41428,586259.414,4475466.877,3.322
41686,586264.016,4475381.704,3.489
41687,586265.036,4475381.504,3.313
41688,586266.147,4475381.502,3.341
41689,586267.449,4475381.629,3.279
41690,586268.843,4475382.071,3.177
41691,586270.003,4475382.425,3.21
41692,586271.248,4475382.774,3.165
41693,586272.679,4475383.228,3.124
41694,586273.998,4475383.479,3.136
41695,586275.318,4475383.676,3.199
41696,586276.792,4475383.862,3.137
41697,586278.105,4475384.223,3.131
41698,586279.489,4475384.242,3.122
41699,586280.927,4475384.269,3.115
41700,586282.353,4475384.205,3.085
41701,586283.707,4475384.02,3.091
41702,586285.088,4475384.07,3.036
41703,586286.468,4475383.999,3.024
41704,586287.868,4475383.971,2.986
41705,586289.324,4475383.922,2.922
41706,586290.749,4475383.814,2.914
41707,586292.112,4475383.804,2.877
41708,586293.803,4475383.769,2.833
41709,586295.048,4475383.825,2.815
41710,586296.332,4475383.787,2.79
41711,586297.652,4475383.75,2.707
41712,586298.992,4475383.898,2.645
41713,586300.498,4475383.678,2.542
41714,586301.92,4475383.713,2.471
41715,586303.282,4475383.719,2.397
41716,586304.724,4475383.645,2.303
41717,586306.146,4475383.585,2.239
41718,586307.445,4475383.524,2.156
41719,586308.875,4475383.417,2.086
41720,586310.257,4475383.416,2.006
41721,586311.664,4475383.231,1.965
41722,586313.297,4475383.103,1.9
41723,586314.561,4475383.2,1.834
41724,586316.179,4475383.312,1.782
41725,586317.665,4475383.315,1.724
41726,586319.127,4475383.146,1.649
41727,586320.613,4475383.235,1.63
41728,586322.088,4475383.116,1.587
41729,586323.546,4475383.175,1.608
41730,586324.902,4475383.222,1.646
41731,586326.236,4475383.004,1.673
41732,586327.464,4475382.951,1.667
41733,586328.735,4475382.878,1.653
41734,586330.061,4475382.905,1.704
41735,586331.402,4475382.674,1.779
41736,586332.832,4475382.653,1.807
