ID,X,Y,Z
100000,586237.33,4475926.054,2.078
100001,586237.329,4475926.08,2.078
100002,586237.329,4475926.075,2.077
100003,586237.331,4475926.033,2.083
100004,586237.33,4475925.995,2.086
100005,586237.325,4475925.988,2.09
100006,586237.316,4475926.013,2.083
100007,586237.315,4475925.998,2.093
100008,586237.307,4475926.032,2.088
100009,586237.306,4475926.05,2.09
100010,586237.301,4475926.123,2.077
100011,586237.304,4475926.222,2.056
100012,586237.33,4475926.114,2.073
100013,586237.326,4475926.082,2.075
100014,586237.33,4475926.065,2.074
100015,586237.321,4475926.06,2.08
100016,586237.296,4475926.018,2.086
100017,586237.296,4475925.957,2.088
100018,586237.294,4475925.995,2.093
100019,586237.37,4475926.102,2.078
100020,586238.166,4475926.019,2.101
100021,586239.056,4475926.141,2.094
100022,586239.876,4475926.257,2.047
100023,586240.755,4475926.355,2.009
100024,586241.672,4475926.458,2.037
100025,586242.711,4475926.458,1.985
100026,586243.701,4475926.385,1.934
100027,586244.741,4475926.23,1.962
100028,586245.735,4475926.138,1.98
100029,586246.798,4475926.016,2.004
100030,586247.788,4475925.918,2.03
100031,586248.774,4475925.908,2.038
100032,586249.759,4475925.919,2.092
100033,586250.683,4475925.888,2.092
100034,586251.541,4475925.965,2.118
100035,586252.407,4475926.052,2.146
100036,586253.193,4475926.177,2.139
100037,586253.752,4475926.332,2.144
100038,586253.798,4475926.248,2.133
100039,586253.791,4475926.301,2.124
100040,586253.788,4475926.349,2.119
100041,586253.932,4475926.311,2.133
100042,586254.688,4475926.405,2.113
100043,586255.459,4475926.497,2.19
100044,586256.209,4475926.528,2.246
100045,586257.155,4475926.536,2.249
100046,586257.996,4475926.538,2.282
100047,586258.931,4475926.487,2.335
100048,586259.841,4475926.302,2.343
100049,586260.712,4475926.082,2.385
100050,586261.618,4475925.987,2.383
100051,586262.434,4475925.981,2.431
100052,586263.446,4475925.899,2.463
100053,586264.398,4475925.828,2.516
100054,586265.337,4475925.77,2.537
100055,586266.178,4475925.62,2.562
100056,586267.099,4475925.413,2.573
100057,586268,4475925.369,2.62
100058,586268.955,4475925.441,2.668
100059,586269.937,4475925.513,2.695
100060,586270.999,4475925.577,2.711
100061,586272.044,4475925.709,2.734
100062,586273.092,4475925.783,2.741
100063,586274.062,4475925.906,2.752
100064,586275.02,4475925.953,2.757
100065,586275.877,4475926.103,2.771
100066,586276.869,4475926.203,2.785
100067,586277.856,4475926.279,2.763
100068,586278.897,4475926.237,2.763
100069,586279.922,4475926.23,2.754
100070,586280.867,4475926.091,2.74
100071,586281.604,4475926.052,2.717
100072,586282.096,4475925.948,2.692
100073,586282.487,4475925.937,2.708
100074,586282.815,4475925.946,2.702
100075,586283.134,4475925.915,2.68
100076,586283.432,4475926.153,2.65
100077,586283.872,4475926.066,2.645
100078,586284.319,4475925.955,2.636
100079,586284.903,4475925.88,2.604
100080,586285.721,4475925.85,2.557
100081,586286.583,4475925.716,2.505
100082,586287.499,4475925.591,2.435
100083,586288.325,4475925.521,2.359
100084,586289.232,4475925.435,2.296
100085,586290.159,4475925.465,2.214
100086,586291.017,4475925.458,2.137
100087,586291.994,4475925.521,2.057
100088,586292.977,4475925.545,1.981
100089,586294.022,4475925.644,1.892
100090,586295.056,4475925.596,1.799
100091,586296.073,4475925.49,1.712
100092,586297.09,4475925.548,1.61
100093,586297.988,4475925.497,1.523
100094,586298.84,4475925.404,1.429
100095,586299.809,4475925.352,1.318
100096,586300.797,4475925.362,1.204
100097,586301.84,4475925.475,1.092
100098,586302.717,4475925.613,0.987
100099,586303.753,4475925.714,0.86
100100,586304.857,4475925.811,0.741
100101,586305.954,4475925.945,0.628
100102,586307.014,4475926.045,0.514
100103,586308.12,4475926.115,0.381
100104,586309.24,4475926.154,0.259
100105,586310.36,4475926.09,0.125
100106,586311.516,4475925.948,0.009
100107,586312.611,4475925.86,-0.1
100108,586313.766,4475925.724,-0.217
100109,586314.791,4475925.601,-0.329
100110,586315.819,4475925.556,-0.434
100111,586316.844,4475925.432,-0.542
100112,586317.828,4475925.314,-0.628
100113,586318.601,4475925.09,-0.706
100114,586319.021,4475925.047,-0.754
100115,586319.009,4475925.088,-0.754
100116,586318.991,4475925.073,-0.746
100117,586318.988,4475925.1,-0.763
100118,586318.981,4475925.117,-0.772
100119,586318.981,4475925.105,-0.779
100120,586322.959,4475900.555,-0.761
